"id","proyecto_id","organo","fecha_inicio","fecha_termino","tipo_tramite"
"10205","1047","C.E CARTAGO (ÁREA IV)","2025-09-22","2026-02-12","INGRESO EN EL ORDEN DEL DÍA MOCIONES 137 (COMISIÓN)"
"10206","1047","PLENARIO","2025-09-18","2025-09-19","REMISIÓN DE MOCIONES 137 A COMISION (PLENARIO)"
"10207","1047","PLENARIO","2025-09-18","2025-09-18","PRIMER DEBATE (PLENARIO)"
"10208","1047","PLENARIO","2025-08-08","2025-08-08","INGRESO EN EL ORDEN DEL DIA (PLENARIO)"
"10209","1047","PLENARIO","2025-04-21","2025-04-21","RECEPCIÓN EN LA SECRETARÍA DEL DIRECTORIO (PLENARIO)"
"10210","1047","C.E CARTAGO (ÁREA IV)","2025-04-21","2025-04-21","REMISIÓN A LA SECRETARÍA DEL  DIRECTORIO (COMISIÓN)"
"10211","1047","C.E CARTAGO (ÁREA IV)","2025-03-31","2025-03-31","DICTAMEN (COMISIÓN)"
"10212","1047","C.E CARTAGO (ÁREA IV)","2025-03-31","2025-03-31","VOTACIÓN (COMISIÓN)"
"10213","1047","C.E CARTAGO (ÁREA IV)","2024-10-28","2025-03-31","INGRESO EN EL ORDEN DEL DÍA Y DEBATE (COMISIÓN)"
"10214","1047","C.E CARTAGO (ÁREA IV)","2024-10-10","2024-10-10","RECEPCIÓN DEL PROYECTO (COMISIÓN)"
"10215","1047","ARCHIVO","2024-10-10","2024-10-10","REMISIÓN DEL EXPEDIENTE A COMISIÓN (ARCHIVO)"
"10216","1047","ARCHIVO","2024-09-27","2024-09-27","ENVÍO A IMPRENTA NACIONAL PARA SU PUBLICACIÓN"
"10217","1047","ARCHIVO","2024-09-27","2024-09-27","RECEPCIÓN DEL PROYECTO (ARCHIVO)"
"10218","1047","PLENARIO","2024-09-26","2024-09-26","ASIGNACIÓN A COMISIÓN E INFORME AL PLENARIO"
"10219","1047","PLENARIO","2024-09-17","2024-09-17","PRESENTACIÓN DEL PROYECTO DE LEY"
"10220","1048","SEGURIDAD Y NARCOTR (ÁREA VII)","2026-04-08","2026-04-08","DICTAMEN (COMISIÓN)"
"10221","1048","SEGURIDAD Y NARCOTR (ÁREA VII)","2026-04-08","2026-04-08","VOTACIÓN (COMISIÓN)"
"10222","1048","SEGURIDAD Y NARCOTR (ÁREA VII)","2024-10-17","2026-04-08","INGRESO EN EL ORDEN DEL DÍA Y DEBATE (COMISIÓN)"
"10223","1048","SEGURIDAD Y NARCOTR (ÁREA VII)","2024-10-10","2024-10-10","RECEPCIÓN DEL PROYECTO (COMISIÓN)"
"10224","1048","ARCHIVO","2024-10-10","2024-10-10","REMISIÓN DEL EXPEDIENTE A COMISIÓN (ARCHIVO)"
"10225","1048","ARCHIVO","2024-09-27","2024-09-27","RECEPCIÓN DEL PROYECTO (ARCHIVO)"
"10226","1048","ARCHIVO","2024-09-26","2024-09-26","ENVÍO A IMPRENTA NACIONAL PARA SU PUBLICACIÓN"
"10227","1048","PLENARIO","2024-09-26","2024-09-26","ASIGNACIÓN A COMISIÓN E INFORME AL PLENARIO"
"10228","1048","PLENARIO","2024-09-16","2024-09-16","PRESENTACIÓN DEL PROYECTO DE LEY"
"10229","1049","ARCHIVO","2025-03-18","2025-03-18","ARCHIVO DEL EXPEDIENTE"
